isbn,publisher_id,upc,title,genre,cover_type,release_year
9781888146080,3,3059067789332,Huge late scene,Fiction,Paperback,2001
9780877144601,4,6313082953817,Fly bank bring,Fantasy,Hardcover,2015
9780343103491,8,3662551123354,Treatment affect,Mystery,Hardcover,2020
9781294328049,10,5777783932396,Worker magazine,Sci-Fi,Hardcover,2012
9781969240324,1,5455735328823,Arm nearly any step address,Sci-Fi,Hardcover,2019
9780951684665,4,3627458072761,Perform change stop effect us,Sci-Fi,Hardcover,1996
9780742765627,9,0337183201406,She site determine,Romance,Hardcover,2021
9781065682707,9,6443379371083,Interesting decide dog policy town,Sci-Fi,Paperback,2018
9780675186155,2,5949813429033,Production child someone small big,Sci-Fi,Hardcover,2019
9780604679260,2,3429379350535,Weight on,Mystery,Paperback,1998
9780043633779,2,4866493591557,Consider least half us never,Fantasy,Paperback,2024
9780100598553,1,2293148504181,Response list build tonight democratic,Fantasy,Hardcover,2010
9780878419630,7,0732887042674,Need art station,Romance,Hardcover,2000
9780227594223,3,0665868084649,Stage everyone we wind,Mystery,Paperback,2012
9780873375955,9,9045815303374,Economy bag structure despite recognize,Fantasy,Hardcover,1997
9781124485164,5,3816790948623,Audience growth,Mystery,Hardcover,2019
9781875620074,10,0295435835772,Over five culture sometimes,Fiction,Paperback,2014
9780235676805,9,7934677350874,Important main case,Sci-Fi,Hardcover,2019
9780770346645,2,4794386311572,Argue economy dark no people,Romance,Hardcover,2011
9781834632285,10,3706442535564,Among side enter,Romance,Hardcover,1992
9780506521728,8,1633406371635,Walk almost,Mystery,Hardcover,2023
9781590162101,3,8884999295768,Main open real,Sci-Fi,Hardcover,2020
9780759236882,1,1036851339845,Ground they,Mystery,Hardcover,1992
9780456767610,7,7694256460843,Teach hold more,Sci-Fi,Paperback,2009
9780500370513,8,6214213227251,Structure ball society,Fantasy,Hardcover,2010
9780474307232,5,4829871078231,Though song much worry article,Mystery,Hardcover,1990
9781723020131,4,7773769862440,Probably region federal,Sci-Fi,Paperback,2005
9781708941284,8,6802861527207,Improve talk myself,Nonfiction,Hardcover,2022
9781154049480,7,2027338215591,Exactly clear board seem,Mystery,Paperback,2003
9781469563978,6,2992660173157,International myself road condition change,Nonfiction,Hardcover,1993
9780232016475,1,7483744043954,Consumer science heavy glass,Romance,Paperback,1999
9781181254352,9,2337794667958,Middle debate save,Mystery,Hardcover,1990
9781133985297,4,7668739649827,Run thousand,Nonfiction,Hardcover,2022
9780027906301,10,0930408721859,Spend role necessary,Romance,Hardcover,2015
9780219900148,10,3539682321563,Laugh later,Romance,Hardcover,2023
9780863565724,9,9188619562131,Exactly population,Fiction,Hardcover,1997
9781405570244,9,0734156189868,Rest so across,Sci-Fi,Hardcover,2017
9781414403113,2,3088226262218,American stop treatment,Sci-Fi,Paperback,2024
9781412191609,5,7927846324691,Half over state next,Nonfiction,Hardcover,1998
9780053452032,8,6268788053463,Themselves yard discussion,Fantasy,Hardcover,2010
