order_id,isbn,quantity,price
1,9781834632285,2,14.56
1,9780235676805,1,30.99
1,9780506521728,2,5.25
1,9780770346645,2,38.62
2,9780506521728,2,32.66
2,9780873375955,1,21.35
2,9780759236882,2,22.89
3,9781834632285,2,14.26
3,9780878419630,3,16.96
4,9780027906301,3,16.64
4,9780474307232,2,39.87
4,9781969240324,3,17.42
4,9780742765627,2,19.94
5,9781294328049,3,30.26
5,9781124485164,1,30.39
6,9780232016475,2,15.57
7,9781969240324,2,22.08
7,9781969240324,1,28.83
7,9780675186155,3,20.52
8,9780500370513,2,17.15
8,9781154049480,2,12.99
8,9780232016475,2,25.04
8,9781412191609,2,18.89
9,9780235676805,1,39.1
9,9781181254352,3,13.85
9,9780878419630,1,6.01
9,9781834632285,2,38.9
9,9780456767610,1,15.88
10,9781294328049,2,27.71
10,9781708941284,1,25.51
11,9781834632285,1,28.18
11,9781834632285,2,29.68
11,9780232016475,3,9.56
12,9780604679260,1,10.15
12,9781414403113,1,24.39
13,9781065682707,1,39.91
13,9781875620074,1,30.04
14,9781834632285,2,36.06
15,9780456767610,2,14.25
15,9781124485164,1,12.34
16,9781834632285,1,35.79
16,9780053452032,3,32.69
16,9781412191609,1,35.78
16,9780506521728,2,23.88
16,9781875620074,1,24.04
17,9780951684665,1,39.59
17,9780742765627,1,33.43
17,9781723020131,1,38.55
17,9780456767610,3,32.63
18,9781590162101,1,37.78
19,9780506521728,2,20.09
19,9780474307232,2,10.92
19,9780043633779,1,36.64
20,9781834632285,2,6.21
20,9781469563978,2,32.73
20,9780500370513,1,39.13
20,9781154049480,1,34.29
21,9781065682707,3,12.72
21,9780877144601,3,8.45
21,9780100598553,3,20.55
21,9780235676805,1,6.91
21,9780235676805,1,14.98
22,9780456767610,3,38.18
22,9780235676805,1,11.23
23,9780474307232,2,17.89
23,9781708941284,1,33.82
23,9781590162101,2,19.89
23,9781708941284,1,12.14
24,9781414403113,2,10.81
24,9780506521728,3,15.7
24,9780227594223,1,8.57
25,9780027906301,3,16.8
25,9781834632285,3,38.91
25,9780500370513,1,10.64
26,9780219900148,2,33.57
26,9780232016475,2,23.42
26,9780456767610,2,14.81
27,9781124485164,2,30.27
27,9780474307232,3,10.78
27,9780053452032,3,12.89
27,9781888146080,1,37.98
28,9781888146080,1,33.54
28,9781405570244,3,17.72
28,9780770346645,1,17.72
28,9781181254352,1,9.89
29,9780873375955,3,31.41
30,9780474307232,3,11.01
30,9781124485164,3,18.27
30,9781590162101,1,7.02
31,9780951684665,1,31.73
31,9780219900148,2,20.63
31,9780878419630,2,29.12
31,9781834632285,3,18.21
32,9780878419630,1,34.32
32,9780100598553,2,25.11
32,9780770346645,1,26.55
32,9780027906301,2,14.4
32,9781133985297,1,38.6
33,9780873375955,1,9.31
33,9780232016475,3,20.18
34,9780219900148,3,11.15
34,9780770346645,1,15.21
34,9780877144601,2,27.17
34,9780877144601,2,25.95
35,9781469563978,3,29.11
35,9780100598553,3,36.15
35,9780604679260,1,22.6
36,9780474307232,2,7.05
36,9780343103491,1,31.52
37,9780043633779,1,38.21
37,9781181254352,1,5.58
37,9780043633779,1,16.34
38,9780770346645,2,27.87
39,9781834632285,3,32.43
40,9781405570244,3,36.48
40,9780456767610,3,36.89
40,9780219900148,3,8.5
41,9781969240324,3,23.54
41,9781414403113,3,16.38
42,9781154049480,1,6.43
42,9780770346645,2,13.57
42,9780043633779,3,6.54
42,9780863565724,2,5.49
43,9781181254352,2,11.48
43,9781888146080,3,28.16
43,9781969240324,3,20.78
44,9781181254352,1,31.83
44,9780742765627,1,22.55
45,9781834632285,3,8.2
46,9780877144601,1,11.04
46,9781590162101,2,7.61
46,9780043633779,3,15.2
46,9780043633779,3,34.59
46,9780759236882,2,35.26
47,9781469563978,2,29.06
47,9781405570244,3,11.82
48,9781888146080,2,32.05
49,9781875620074,3,32.13
49,9780759236882,2,31.7
49,9780232016475,1,24.82
49,9780675186155,3,25.36
49,9780053452032,2,22.72
50,9780878419630,3,27.87
51,9781065682707,1,11.25
52,9780227594223,2,39.43
52,9781708941284,2,16.33
52,9781154049480,2,16.25
53,9781133985297,3,10.09
54,9781181254352,2,11.16
54,9780232016475,1,18.3
54,9780877144601,1,35.8
55,9780235676805,2,8.14
55,9781133985297,2,18.75
55,9781065682707,3,29.95
55,9780500370513,3,29.76
56,9781708941284,1,36.1
56,9781414403113,1,19.87
57,9781181254352,3,28.34
57,9780219900148,3,38.28
57,9781412191609,1,9.53
57,9780474307232,1,12.58
57,9781888146080,1,7.78
58,9780053452032,1,13.18
58,9781469563978,1,34.89
58,9780506521728,3,12.25
59,9780100598553,1,9.89
60,9780474307232,3,9.46
60,9781124485164,1,35.01
60,9780474307232,2,6.96
