order_id,location_id,customer_id,date,total,status
1,1,29,2026-05-06 14:12:27,147.85,Processing
2,3,31,2026-05-06 14:12:27,132.45,Processing
3,1,21,2026-05-06 14:12:27,79.4,Delivered
4,4,12,2026-05-06 14:12:27,221.8,Processing
5,2,49,2026-05-06 14:12:27,121.17,Shipped
6,4,50,2026-05-06 14:12:27,31.14,Delivered
7,4,19,2026-05-06 14:12:27,134.55,Processing
8,1,24,2026-05-06 14:12:27,148.14,Processing
9,5,34,2026-05-06 14:12:27,180.34,Delivered
10,3,50,2026-05-06 14:12:27,80.93,Delivered
11,1,35,2026-05-06 14:12:27,116.22,Processing
12,4,47,2026-05-06 14:12:27,34.54,Delivered
13,1,36,2026-05-06 14:12:27,69.95,Processing
14,2,27,2026-05-06 14:12:27,72.12,Delivered
15,4,26,2026-05-06 14:12:27,40.84,Shipped
16,5,8,2026-05-06 14:12:27,241.44,Delivered
17,5,37,2026-05-06 14:12:27,209.46,Processing
18,5,14,2026-05-06 14:12:27,37.78,Delivered
19,1,33,2026-05-06 14:12:27,98.66,Delivered
20,1,24,2026-05-06 14:12:27,151.3,Shipped
21,2,38,2026-05-06 14:12:27,147.05,Shipped
22,4,49,2026-05-06 14:12:27,125.77,Shipped
23,2,47,2026-05-06 14:12:27,121.52,Shipped
24,1,7,2026-05-06 14:12:27,77.29,Processing
25,5,4,2026-05-06 14:12:27,177.77,Processing
26,5,5,2026-05-06 14:12:27,143.6,Shipped
27,5,34,2026-05-06 14:12:27,169.53,Shipped
28,4,38,2026-05-06 14:12:27,114.31,Shipped
29,3,27,2026-05-06 14:12:27,94.23,Shipped
30,3,16,2026-05-06 14:12:27,94.86,Shipped
31,3,30,2026-05-06 14:12:27,185.86,Delivered
32,5,10,2026-05-06 14:12:27,178.49,Processing
33,4,14,2026-05-06 14:12:27,69.85,Delivered
34,4,30,2026-05-06 14:12:27,154.9,Shipped
35,5,29,2026-05-06 14:12:27,218.38,Delivered
36,5,18,2026-05-06 14:12:27,45.62,Shipped
37,3,47,2026-05-06 14:12:27,60.13,Processing
38,3,6,2026-05-06 14:12:27,55.74,Processing
39,3,15,2026-05-06 14:12:27,97.29,Delivered
40,2,47,2026-05-06 14:12:27,245.61,Processing
41,5,26,2026-05-06 14:12:27,119.76,Delivered
42,2,19,2026-05-06 14:12:27,64.17,Shipped
43,3,9,2026-05-06 14:12:27,169.78,Delivered
44,4,43,2026-05-06 14:12:27,54.38,Shipped
45,2,30,2026-05-06 14:12:27,24.6,Shipped
46,5,13,2026-05-06 14:12:27,246.15,Processing
47,4,25,2026-05-06 14:12:27,93.58,Shipped
48,2,21,2026-05-06 14:12:27,64.1,Shipped
49,5,7,2026-05-06 14:12:27,306.13,Delivered
50,2,10,2026-05-06 14:12:27,83.61,Shipped
51,4,24,2026-05-06 14:12:27,11.25,Shipped
52,5,41,2026-05-06 14:12:27,144.02,Shipped
53,3,12,2026-05-06 14:12:27,30.27,Shipped
54,3,44,2026-05-06 14:12:27,76.42,Shipped
55,5,39,2026-05-06 14:12:27,232.91,Processing
56,1,31,2026-05-06 14:12:27,55.97,Processing
57,3,42,2026-05-06 14:12:27,229.75,Shipped
58,3,3,2026-05-06 14:12:27,84.82,Delivered
59,4,39,2026-05-06 14:12:27,9.89,Shipped
60,2,18,2026-05-06 14:12:27,77.31,Delivered
