isbn,author_id
9781888146080,13
9781888146080,24
9780877144601,24
9780343103491,4
9781294328049,25
9781294328049,27
9781969240324,4
9781969240324,6
9780951684665,24
9780951684665,23
9780951684665,2
9780742765627,16
9780742765627,24
9781065682707,2
9781065682707,5
9781065682707,9
9780675186155,2
9780675186155,16
9780675186155,16
9780604679260,5
9780604679260,21
9780043633779,20
9780043633779,1
9780043633779,5
9780100598553,26
9780100598553,16
9780100598553,7
9780878419630,15
9780227594223,15
9780873375955,11
9780873375955,12
9780873375955,1
9781124485164,14
9781124485164,4
9781124485164,30
9781875620074,19
9781875620074,13
9780235676805,23
9780770346645,10
9780770346645,17
9781834632285,19
9781834632285,6
9781834632285,6
9780506521728,1
9780506521728,16
9781590162101,21
9781590162101,26
9780759236882,10
9780759236882,22
9780759236882,13
9780456767610,28
9780500370513,7
9780500370513,6
9780474307232,18
9780474307232,8
9780474307232,26
9781723020131,5
9781723020131,16
9781708941284,5
9781708941284,23
9781154049480,2
9781154049480,28
9781469563978,4
9780232016475,19
9781181254352,16
9781133985297,29
9781133985297,28
9781133985297,8
9780027906301,6
9780219900148,16
9780219900148,7
9780863565724,15
9780863565724,2
9781405570244,23
9781414403113,3
9781414403113,2
9781414403113,20
9781412191609,22
9781412191609,21
9781412191609,28
9780053452032,1
9780053452032,6
9780053452032,7
